verb,agency,power
introduces,agency_pos,power_agent
intrudes,agency_pos,
invades,agency_pos,power_agent
invents,agency_pos,power_agent
investigates,agency_pos,power_agent
invests,agency_pos,power_agent
invites,agency_equal,power_agent
invokes,agency_pos,power_agent
involves,agency_pos,power_agent
irritates,agency_pos,power_agent
isolates,agency_equal,power_agent
issues,agency_pos,power_agent
jabs,agency_pos,power_agent
jams,agency_pos,power_agent
jars,agency_pos,power_agent
jiggles,agency_pos,power_agent
jogs,agency_pos,
joins,agency_pos,power_theme
jokes,agency_equal,
jolts,agency_pos,power_agent
jostles,agency_pos,power_agent
jots,agency_pos,power_theme
judges,agency_pos,power_agent
juggles,agency_pos,power_agent
jumps,agency_pos,
justifies,agency_pos,power_agent
juts,agency_pos,
keeps,agency_neg,power_agent
keys,agency_pos,power_agent
kicks,agency_pos,power_agent
kidnaps,agency_pos,power_agent
kids,agency_pos,power_agent
kills,agency_pos,power_agent
kisses,agency_pos,power_agent
kneels,agency_pos,
knits,agency_pos,power_agent
knocks,agency_pos,power_agent
knots,agency_pos,power_agent
knows,agency_neg,power_agent
labels,agency_pos,power_equal
labors,agency_pos,
laces,agency_pos,power_agent
lacks,agency_neg,power_theme
lags,agency_neg,
lands,agency_pos,
laps,agency_pos,power_agent
lashes,agency_pos,power_agent
lasts,agency_pos,power_agent
latches,agency_equal,power_equal
laughs,agency_pos,
launches,agency_pos,power_agent
lays,agency_pos,
leads,agency_pos,power_agent
leafs,agency_pos,power_agent
leaks,agency_pos,power_equal
leans,agency_pos,
leaps,agency_pos,
learns,agency_equal,power_theme
leaves,agency_equal,power_agent
lectures,agency_pos,power_agent
leers,agency_neg,
lends,agency_equal,power_agent
lets,agency_equal,power_agent
letters,agency_pos,power_equal
levels,agency_pos,power_agent
licks,agency_pos,power_equal
lies,agency_pos,
lies to,agency_pos,power_equal
lifts,agency_pos,power_agent
lightens,agency_pos,power_agent
lights,agency_pos,power_agent
likes,agency_equal,power_theme
limits,agency_pos,power_agent
limps,agency_neg,
lines,agency_pos,power_equal
lingers,agency_neg,
links,agency_pos,power_equal
listens,agency_pos,power_theme
lists,agency_pos,power_equal
litters,agency_pos,power_agent
lives,agency_equal,power_equal
lives on,agency_neg,power_equal
loads,agency_pos,power_agent
locates,agency_pos,power_equal
locks,agency_pos,power_agent
lodges,agency_equal,
lolls,agency_neg,
looks,agency_equal,power_equal
looms,agency_neg,
loops,agency_pos,power_agent
loosens,agency_pos,power_agent
looses,agency_pos,power_agent
lops,agency_pos,power_agent
loses,agency_equal,power_theme
lounges,agency_neg,
loves,agency_pos,power_equal
lowers,agency_pos,power_agent
lugs,agency_pos,power_theme
lumbers,agency_pos,
lunges,agency_pos,
lurches,agency_pos,power_agent
lures,agency_pos,power_agent
lurks,agency_neg,
magnifies,agency_pos,power_equal
mails,agency_pos,power_agent
maintains,agency_pos,power_agent
makes,agency_pos,power_agent
manages,agency_pos,power_agent
mandates,agency_pos,power_agent
maneuvers,agency_pos,power_agent
mangles,agency_pos,power_agent
manipulates,agency_pos,power_agent
mans,agency_pos,power_agent
manufactures,agency_pos,power_agent
marches,agency_equal,
marks,agency_pos,power_agent
marries,agency_pos,power_equal
marvels at,agency_equal,power_theme
mashes,agency_pos,power_agent
masks,agency_pos,power_agent
massages,agency_pos,power_theme
matches,agency_pos,power_equal
materializes,agency_neg,
mats,agency_equal,power_agent
matters,agency_neg,
means,agency_neg,power_equal
measures,agency_pos,power_equal
mediates,agency_pos,
meets,agency_pos,power_equal
melts,agency_pos,power_agent
memorizes,agency_equal,power_equal
mends,agency_pos,power_agent
mentions,agency_equal,power_theme
merges,agency_pos,power_agent
mesmerizes,agency_equal,power_agent
messes up,agency_pos,power_agent
mills,agency_pos,
mimes,agency_pos,power_theme
mimics,agency_pos,power_theme
minds,agency_equal,power_theme
mingles,agency_pos,power_theme
minimizes,agency_pos,power_agent
mirrors,agency_equal,power_agent
misses,agency_neg,power_theme
mistakes,agency_equal,power_equal
misunderstands,agency_neg,power_theme
mixes,agency_pos,power_agent
moans,agency_pos,
mobilizes,agency_pos,power_agent
mocks,agency_pos,power_agent
modifies,agency_pos,power_agent
monitors,agency_neg,power_agent
mops,agency_pos,power_equal
motions to,agency_pos,power_equal
motivates,agency_pos,power_agent
mounts,agency_pos,power_agent
mourns,agency_pos,
mouths,agency_pos,power_equal
moves,agency_pos,power_agent
moves on,agency_pos,power_equal
mows,agency_pos,power_agent
muffles,agency_pos,power_agent
mugs,agency_pos,power_agent
mulls,agency_equal,
multiplies,agency_equal,power_agent
mumbles,agency_pos,power_equal
munches,agency_pos,power_agent
murders,agency_pos,power_agent
murmurs,agency_equal,power_equal
musters,agency_pos,power_agent
mutes,agency_pos,power_agent
mutilates,agency_pos,power_agent
mutters,agency_equal,power_equal
nails,agency_pos,power_agent
names,agency_pos,power_agent
narrows,agency_pos,power_equal
navigates,agency_pos,power_agent
nears,agency_pos,power_equal
needs,agency_neg,power_theme
neglects,agency_equal,power_agent
negotiates,agency_pos,power_agent
nestles,agency_pos,power_agent
nibbles,agency_pos,power_agent
nods,agency_pos,
nods to,agency_pos,power_theme
nominates,agency_pos,power_agent
noses,agency_pos,power_agent
notes,agency_equal,power_theme
notices,agency_equal,power_equal
notifies,agency_pos,power_agent
nudges,agency_pos,power_equal
numbers,agency_pos,power_equal
nurses,agency_pos,power_agent
nuzzles,agency_pos,power_theme
obeys,agency_neg,power_theme
objects,agency_pos,
objects to,agency_pos,power_theme
obliges,agency_equal,power_theme
obliterates,agency_pos,power_agent
obscures,agency_pos,power_agent
observes,agency_neg,power_equal
obsesses over,agency_equal,power_theme
obstructs,agency_pos,power_agent
obtains,agency_pos,power_agent
occupies,agency_pos,power_agent
occurs,agency_neg,
offends,agency_pos,power_theme
offers,agency_pos,power_agent
offers to,agency_pos,power_theme
omits,agency_pos,power_agent
oozes,agency_equal,power_equal
opens,agency_pos,power_agent
operates,agency_pos,power_agent
opposes,agency_pos,power_equal
orders,agency_pos,power_agent
organizes,agency_pos,power_agent
outlaws,agency_pos,power_agent
outlines,agency_pos,power_theme
overcomes,agency_pos,power_agent
overflows,agency_neg,
overhears,agency_equal,power_equal
overlaps,agency_equal,power_agent
overlooks,agency_neg,power_agent
oversees,agency_pos,power_agent
overtakes,agency_pos,power_agent
overthrows,agency_pos,power_agent
overturns,agency_pos,power_agent
overwhelms,agency_pos,power_agent
owes,agency_neg,power_theme
owns,agency_equal,power_agent
paces,agency_pos,power_equal
packs,agency_pos,power_agent
paddles,agency_pos,
pads,agency_pos,power_agent
pages,agency_pos,power_equal
paints,agency_pos,power_agent
pals,agency_equal,
panics,agency_pos,power_equal
pans,agency_pos,power_agent
pants,agency_equal,
paralyzes,agency_pos,power_agent
pardons,agency_pos,power_agent
parks,agency_pos,power_agent
participates,agency_pos,
parts,agency_pos,power_agent
passes,agency_pos,power_agent
pastes,agency_pos,power_agent
patches,agency_pos,power_agent
patrols,agency_pos,power_agent
pats,agency_pos,power_equal
pauses,agency_neg,
paves,agency_pos,power_equal
paws,agency_pos,power_equal
pays,agency_equal,power_agent
pecks,agency_pos,power_agent
pedals,agency_pos,
peddles,agency_pos,power_agent
peeks,agency_neg,
peels,agency_pos,power_agent
peeps,agency_pos,
peers,agency_pos,
pees,agency_pos,
pegs,agency_pos,power_agent
pelts,agency_pos,power_agent
penetrates,agency_pos,power_agent
perceives,agency_neg,power_equal
perches,agency_pos,
perfects,agency_pos,power_agent
performs,agency_pos,power_equal
permits,agency_pos,power_agent
perplexes,agency_neg,power_agent
persuades,agency_pos,power_agent
peruses,agency_pos,power_theme
pets,agency_pos,power_equal
phones,agency_pos,power_equal
photographs,agency_pos,power_equal
picks,agency_pos,power_agent
pictures,agency_equal,power_equal
pierces,agency_pos,power_agent
piles,agency_pos,power_agent
pinches,agency_pos,power_agent
pins,agency_pos,power_agent
pitches,agency_pos,power_agent
pivots,agency_pos,power_equal
places,agency_pos,power_agent
plagues,agency_pos,power_agent
plans,agency_pos,power_agent
plants,agency_pos,power_agent
plasters,agency_pos,power_agent
plats,agency_pos,power_equal
plays,agency_pos,power_agent
pleads,agency_pos,power_theme
pleases,agency_neg,power_theme
pledges,agency_pos,power_agent
plops,agency_pos,power_agent
plows,agency_pos,power_agent
plucks,agency_pos,power_agent
plugs in,agency_pos,power_agent
plummets,agency_neg,
plunges,agency_pos,power_agent
pockets,agency_equal,power_agent
points at,agency_pos,power_equal
poises,agency_pos,
poisons,agency_pos,power_agent
pokes,agency_pos,power_agent
polishes,agency_pos,power_theme
ponders,agency_neg,
pops,agency_pos,power_agent
portrays,agency_pos,power_theme
poses,agency_neg,
positions,agency_pos,power_agent
possesses,agency_equal,power_agent
postpones,agency_pos,power_agent
posts,agency_pos,power_agent
pounces,agency_pos,
pounds,agency_pos,power_agent
pours,agency_pos,power_agent
powers,agency_pos,power_agent
practices,agency_pos,power_theme
praises,agency_pos,power_equal
prays,agency_equal,power_theme
prays to,agency_neg,power_theme
preaches,agency_pos,power_equal
precedes,agency_neg,power_agent
predicts,agency_equal,power_theme
prefers,agency_neg,power_theme
preoccupies,agency_equal,power_agent
prepares,agency_pos,power_agent
prescribes,agency_pos,power_agent
presents,agency_pos,power_agent
preserves,agency_pos,power_agent
presides,agency_pos,
presses,agency_pos,power_agent
presumes,agency_equal,power_agent
pretends,agency_pos,power_agent
prevails,agency_pos,
prevents,agency_pos,power_agent
pricks,agency_pos,power_agent
pries,agency_equal,
prints,agency_pos,power_agent
probes,agency_pos,power_agent
proceeds,agency_pos,
processes,agency_pos,power_equal
proclaims,agency_pos,power_agent
prods,agency_pos,power_agent
produces,agency_pos,power_agent
programs,agency_pos,power_agent
progresses,agency_pos,
prohibits,agency_pos,power_agent
projects,agency_equal,power_agent
promises,agency_pos,power_equal
promotes,agency_pos,power_theme
prompts,agency_pos,power_agent
pronounces,agency_pos,power_agent
propels,agency_pos,power_agent
proposes,agency_pos,power_agent
props,agency_pos,power_agent
prosecutes,agency_pos,power_agent
protects,agency_pos,power_agent
protests,agency_pos,power_equal
protrudes,agency_neg,
proves,agency_pos,power_agent
provides,agency_pos,power_agent
provokes,agency_pos,power_equal
prowls,agency_pos,
publishes,agency_pos,power_agent
puffs,agency_pos,
pulls,agency_pos,power_agent
pulsates,agency_equal,
pulses,agency_equal,
pummels,agency_pos,power_agent
pumps,,power_agent
punches,agency_pos,power_agent
punctuates,agency_pos,power_agent
punctures,agency_pos,power_agent
punishes,agency_pos,power_agent
purchases,agency_pos,power_agent
purrs,agency_equal,
pursues,agency_pos,power_theme
pushes,agency_pos,power_agent
puts,agency_equal,power_agent
puzzles,agency_neg,power_agent
qualifies,agency_neg,
questions,agency_pos,power_agent
quickens,agency_pos,power_agent
quiets,agency_pos,power_agent
quits,agency_pos,power_agent
quivers,agency_pos,
quotes,agency_equal,power_theme
races,agency_pos,power_equal
racks up,agency_pos,power_equal
radiates,agency_equal,power_theme
rags,agency_pos,power_agent
raids,agency_pos,power_agent
rails against,agency_pos,power_agent
rains,agency_pos,power_agent
raises,agency_pos,power_agent
rakes,agency_pos,power_agent
rambles,agency_pos,
rams,agency_pos,power_agent
ranges,agency_pos,
ranks,agency_pos,power_agent
rants,agency_pos,
raps,agency_pos,
ratifies,agency_pos,power_agent
rats on,agency_pos,power_agent
rattles,agency_pos,power_agent
ravages,agency_pos,power_agent
raves,agency_pos,
reaches,agency_pos,power_theme
reacts,agency_pos,
reacts to,agency_pos,power_theme
readies,agency_pos,power_agent
reads,agency_equal,power_agent
reaffirms,agency_pos,power_agent
realises,agency_equal,power_equal
realizes,agency_neg,power_equal
reappears,agency_pos,
rearranges,agency_pos,power_agent
rears,agency_pos,
reasons,agency_pos,
reassures,agency_pos,power_agent
rebuilds,agency_pos,power_agent
recalls,agency_neg,power_theme
recedes,agency_neg,
receives,agency_neg,power_theme
recites,agency_pos,power_equal
reckons,agency_pos,power_agent
reclines,agency_neg,
recognises,agency_equal,power_theme
recognizes,agency_neg,power_theme
recoils,agency_equal,
recommends,agency_pos,power_agent
reconciles,agency_pos,power_equal
reconsiders,agency_equal,power_agent
records,agency_equal,power_agent
recounts,agency_equal,power_agent
recovers,agency_pos,power_equal
recruits,agency_pos,power_agent
reduces,agency_pos,power_agent
reels,agency_neg,
refers,agency_pos,power_equal
refills,agency_pos,power_agent
reflects,agency_neg,power_theme
refuses,agency_pos,power_agent
regains,agency_pos,power_agent
regards,agency_neg,power_theme
registers,agency_pos,power_agent
regrets,agency_neg,power_theme
regulates,agency_pos,power_agent
rehearses,agency_pos,power_equal
reinforces,agency_pos,power_agent
reins,agency_pos,power_equal
reiterates,agency_equal,power_theme
rejects,agency_pos,power_agent
rejoins,agency_pos,power_equal
relates to,agency_neg,power_equal
relaxes,agency_neg,
releases,agency_pos,power_agent
relents,agency_pos,
relies,agency_neg,
relieves,agency_pos,power_theme
relishes,agency_neg,power_theme
reloads,agency_pos,power_agent
remains,agency_neg,
remembers,agency_equal,power_equal
reminds,agency_pos,power_agent
removes,agency_pos,power_agent
renders,agency_pos,power_agent
rends,agency_pos,power_agent
renews,agency_pos,power_agent
renounces,agency_pos,power_agent
rents,agency_pos,power_equal
reopens,agency_pos,power_agent
repairs,agency_pos,power_agent
repays,agency_pos,power_theme
repeats,agency_pos,power_theme
replaces,agency_pos,power_agent
replies,agency_neg,power_equal
reports,agency_pos,power_agent
represents,agency_pos,power_theme
repulses,agency_neg,power_theme
requests,agency_equal,power_equal
requires,agency_equal,power_theme
rescues,agency_pos,power_agent
resembles,agency_neg,power_equal
resents,agency_neg,power_theme
reserves,agency_pos,power_agent
resigns,agency_equal,
resists,agency_pos,power_equal
resolves,agency_pos,power_equal
respects,agency_equal,power_theme
responds,agency_pos,power_theme
restores,agency_pos,power_agent
restrains,agency_pos,power_agent
restricts,agency_pos,power_agent
rests,agency_neg,
results,agency_equal,
results in,agency_neg,power_agent
resumes,agency_equal,power_agent
retains,agency_pos,power_agent
retires,agency_pos,power_agent
retracts,agency_pos,power_agent
retreats,agency_equal,
retrieves,agency_pos,power_agent
returns,agency_pos,power_agent
reveals,agency_pos,power_agent
reverberates,agency_pos,
reverses,agency_pos,power_agent
reviews,agency_pos,power_equal
revises,agency_pos,power_agent
revives,agency_pos,power_agent
revolves,agency_pos,
revolves around,agency_equal,power_theme
revs,agency_pos,power_agent
rewards,agency_pos,power_agent
ricochets,agency_pos,
riddles,agency_pos,power_agent
rides,agency_pos,power_agent
rids,agency_pos,power_agent
rifles through,agency_pos,power_agent
rights,agency_pos,power_agent
rigs,agency_pos,power_agent
rings,agency_pos,power_agent
rinses,agency_pos,power_agent
ripples,agency_pos,
rips,agency_pos,power_agent
rises,agency_pos,
risks,agency_equal,power_agent
rivets,agency_pos,power_agent
rivets on,agency_pos,power_agent
roams,agency_neg,power_equal
roars,agency_pos,
roasts,agency_pos,power_agent
robs,agency_pos,power_agent
rockets,agency_pos,
rocks,agency_equal,
rolls,agency_pos,power_agent
roots,agency_pos,power_equal
rotates,agency_pos,power_agent
rots,agency_neg,
rounds,agency_pos,power_equal
rouses,agency_pos,power_agent
rows,agency_pos,power_agent
rubs,agency_pos,power_equal
ruffles,agency_pos,power_agent
ruins,agency_pos,power_agent
rules,agency_pos,power_agent
rumbles,agency_pos,
rummages,agency_pos,
runs,agency_pos,
rushes,agency_pos,power_agent
rustles,agency_pos,power_agent
rusts,agency_neg,
sacks,agency_pos,power_agent
sacrifices,agency_pos,power_agent
saddles,agency_pos,power_agent
sags,agency_neg,
sails,agency_pos,power_agent
salutes,agency_pos,power_theme
salvages,agency_pos,power_agent
satisfies,agency_pos,power_theme
saunters,agency_pos,
saves,agency_pos,power_agent
savors,agency_pos,power_equal
saws,agency_pos,power_agent
says,agency_pos,power_equal
scales,agency_pos,power_agent
scampers,agency_pos,
scans,agency_pos,power_agent
scares,agency_pos,power_agent
scars,agency_pos,power_agent
scatters,agency_pos,power_agent
schedules,agency_pos,power_agent
scoffs,agency_pos,
scoops,agency_pos,power_agent
scoots,agency_pos,
scorches,agency_pos,power_agent
scores,agency_pos,power_equal
scours,agency_pos,power_agent
scowls,agency_pos,
scrambles,agency_pos,power_agent
scrapes,agency_pos,power_agent
scraps,agency_pos,power_agent
scratches,agency_pos,power_agent
scrawls,agency_pos,power_equal
screams,agency_pos,
screeches,agency_pos,
screens,agency_equal,power_agent
scribbles,agency_pos,power_equal
scrolls,agency_equal,
scrubs,agency_pos,power_agent
scrunches,agency_pos,
scrutinizes,agency_pos,power_agent
scurries,agency_pos,
scuttles,agency_pos,
seals,agency_pos,power_agent
searches,agency_pos,power_agent
sears,agency_pos,power_agent
seats,agency_pos,power_theme
secures,agency_pos,power_agent
seduces,agency_pos,power_agent
seeks,agency_pos,power_theme
seems,agency_neg,
sees,agency_neg,power_equal
seethes,agency_pos,
seizes,agency_pos,power_agent
selects,agency_pos,power_agent
sells,agency_pos,power_agent
sends,agency_pos,power_agent
senses,agency_neg,power_theme
sentences,agency_pos,power_agent
separates,agency_pos,power_agent
serves,agency_equal,power_theme
sets,agency_pos,power_agent
settles,agency_pos,power_agent
severs,agency_pos,power_agent
sews,agency_pos,power_equal
shades,agency_pos,power_equal
shadows,agency_equal,power_theme
shakes,agency_pos,power_agent
shapes,agency_pos,power_agent
shares,agency_pos,power_agent
sharpens,agency_pos,power_agent
shatters,agency_pos,power_agent
shaves,agency_pos,power_agent
sheds,agency_pos,power_agent
shells,agency_pos,power_agent
shelters,agency_pos,power_agent
shields,agency_pos,power_agent
shifts,agency_pos,power_agent
shimmers,agency_neg,
shines,agency_equal,
shins,agency_equal,
ships,agency_pos,power_agent
shivers,agency_equal,
shocks,agency_pos,power_agent
shooes,,power_agent
shoos,agency_pos,
shoots,agency_pos,power_agent
shops,agency_pos,
shoulders,agency_pos,power_agent
shouts,agency_pos,power_agent
shovels,agency_pos,power_agent
shoves,agency_pos,power_agent
showers,agency_pos,power_theme
shows,agency_pos,power_agent
shreds,agency_pos,power_agent
shrieks,agency_pos,power_agent
shrinks,agency_pos,power_agent
shrouds,agency_pos,power_agent
shrugs,agency_pos,
shudders,agency_neg,
shuffles,agency_pos,power_agent
shushes,agency_pos,power_agent
shuts,agency_pos,power_agent
sickens,agency_pos,power_agent
sides,agency_equal,
sidesteps,agency_pos,power_agent
sidles up to,agency_pos,power_theme
sifts,agency_pos,power_agent
sighs,agency_equal,
sights,agency_pos,power_equal
signals,agency_pos,power_equal
signs,agency_pos,power_equal
silences,agency_pos,power_agent
silhouettes,agency_neg,power_theme
simmers,agency_pos,power_agent
singles out,agency_pos,power_agent
sings,agency_pos,power_agent
sinks,agency_pos,power_agent
sips,agency_pos,power_agent
sits,agency_neg,
situates,agency_pos,power_agent
sizes,agency_equal,power_agent
sizzles,agency_equal,
skates,agency_pos,power_agent
sketches,agency_pos,power_equal
skids,agency_equal,
skims,agency_pos,power_agent
skins,agency_pos,power_agent
skips,agency_neg,power_agent
skitters,agency_equal,
slams,agency_pos,power_agent
slants,agency_neg,
slaps,agency_pos,power_agent
slashes,agency_pos,power_agent
slaughters,agency_pos,power_agent
slays,agency_pos,power_agent
sleeps,agency_neg,
slices,agency_pos,power_agent
slicks,agency_equal,power_agent
slides,agency_equal,power_agent
slings,agency_pos,power_agent
slinks,agency_neg,
slips,agency_pos,power_agent
slithers,agency_pos,
slits,agency_pos,power_agent
slops,agency_pos,power_agent
sloshes,agency_equal,
slouches,agency_neg,
slows,agency_pos,power_agent
slugs,agency_pos,power_agent
slumps,agency_neg,
slurps,agency_pos,power_agent
slurs,agency_equal,
smacks,agency_pos,power_agent
smashes,agency_pos,power_agent
smears,agency_pos,power_agent
smells,agency_neg,power_theme
smiles,agency_pos,
smirks,agency_neg,
smokes,agency_pos,power_agent
smolders,agency_neg,
smooths,agency_pos,power_equal
smothers,agency_pos,power_agent
snags,agency_pos,power_agent
snaps,agency_pos,
snarls at,agency_pos,power_equal
snatches,agency_pos,power_agent
sneaks,agency_pos,power_agent
sneers,agency_pos,
sneezes,agency_pos,
snickers,agency_neg,
sniffs,agency_equal,
snips,agency_pos,power_agent
snoops,agency_pos,
snores,agency_neg,
snorts,agency_pos,
snows,agency_neg,
snuggles,agency_pos,power_equal
soaks,agency_pos,power_agent
soars,agency_pos,
sobers,agency_pos,power_agent
sobs,agency_neg,
softens,agency_pos,power_equal
soils,agency_pos,power_agent
solicits,agency_pos,power_agent
solves,agency_pos,power_agent
soothes,agency_pos,power_equal
sorts,agency_pos,power_equal
sounds,agency_pos,power_equal
spaces,agency_pos,power_agent
spans,agency_neg,power_agent
spares,agency_pos,power_agent
sparkles,agency_neg,
sparks,agency_pos,power_agent
spars,agency_pos,power_equal
spatters,agency_equal,
speaks,agency_pos,
speaks to,agency_pos,power_equal
specifies,agency_pos,power_equal
speeds,agency_pos,
speeds up,agency_pos,power_equal
spells,agency_equal,power_equal
spends,agency_pos,power_agent
spews,agency_pos,power_agent
spies,agency_pos,power_equal
spikes,agency_pos,power_agent
spills,agency_pos,power_agent
spins,agency_pos,power_agent
spirals,agency_pos,
spits at,agency_pos,power_agent
splashes,agency_pos,
splatters,agency_pos,power_agent
splinters,agency_pos,power_agent
splits,agency_pos,power_agent
spoils,agency_pos,power_equal
sponsors,agency_pos,power_agent
spooks,agency_pos,power_agent
sports,agency_equal,power_equal
spots,agency_neg,power_agent
sprawls,agency_equal,
sprays,agency_pos,power_agent
spreads,agency_pos,power_agent
springs,agency_pos,
sprinkles,agency_pos,power_agent
sprints,agency_pos,
sprouts,agency_pos,
spurs,agency_pos,power_agent
sputters,agency_pos,
squares,agency_pos,power_agent
squashes,agency_pos,power_agent
squats,agency_pos,
squeaks,agency_equal,
squeals,agency_equal,
squeezes,agency_pos,power_agent
squints,agency_equal,
squirms,agency_equal,
squirts,agency_pos,power_equal
stabilizes,agency_pos,power_agent
stabs,agency_pos,power_agent
stacks,agency_pos,power_agent
staggers,agency_equal,
stains,agency_pos,power_agent
stakes,agency_pos,power_agent
stalks,agency_pos,power_theme
stalls,agency_pos,power_agent
stamps,agency_pos,power_agent
stands,agency_equal,
stares,agency_neg,
stars,agency_pos,power_equal
startles,agency_pos,power_equal
starts,agency_pos,power_agent
starves,agency_pos,power_agent
stashes,agency_pos,power_agent
states,agency_pos,power_equal
stations,agency_pos,power_agent
stays,agency_neg,
steadies,agency_pos,power_agent
steals,agency_pos,power_agent
steams,agency_pos,power_agent
steels,agency_pos,power_agent
steers,agency_pos,power_agent
stencils,agency_pos,power_agent
steps,agency_pos,
sticks,agency_pos,
stiffens,agency_pos,power_equal
stifles,agency_pos,power_agent
stimulates,agency_pos,power_equal
stings,agency_pos,power_agent
stinks,agency_neg,
stirs,agency_pos,power_agent
stitches,agency_pos,power_equal
stocks,agency_pos,power_equal
stomps,agency_pos,
stones,agency_pos,power_agent
stoops,agency_equal,
stops,agency_pos,power_agent
stores,agency_pos,power_agent
storms,agency_pos,power_agent
stows,agency_pos,power_agent
straddles,agency_pos,power_agent
straightens,agency_pos,power_agent
strains,agency_pos,power_agent
strands,agency_pos,power_agent
strangles,agency_pos,power_agent
strangles on,agency_equal,power_agent
straps,agency_pos,power_agent
strays,agency_pos,
streams,agency_pos,
strengthens,agency_pos,power_agent
stresses,agency_pos,power_agent
stretches,agency_pos,
strides,agency_pos,
strikes,agency_pos,power_agent
strings,agency_pos,power_agent
strips,agency_pos,power_agent
strokes,agency_pos,power_equal
strolls,agency_equal,
struggles,agency_equal,power_theme
struts,agency_pos,
stubs,agency_equal,power_agent
studies,agency_pos,power_equal
stuffs,agency_pos,power_agent
stumbles,agency_neg,
stuns,agency_pos,power_agent
subdues,agency_pos,power_agent
submerges,agency_pos,power_agent
submits,agency_pos,power_equal
subsides,agency_neg,
subtitles,agency_pos,power_theme
succeeds,agency_pos,power_agent
sues,agency_pos,power_agent
suffers,agency_neg,power_theme
suffocates,agency_pos,power_agent
suggests,agency_pos,power_agent
sulks,agency_neg,
summons,agency_pos,power_agent
superimposes,agency_pos,power_agent
supervises,agency_pos,power_agent
supplies,agency_pos,power_agent
supports,agency_pos,power_equal
supposes,agency_equal,power_equal
suppresses,agency_pos,power_agent
surfaces,agency_pos,
surfs,agency_pos,
surges,agency_pos,
surprises,agency_pos,power_equal
surrenders,agency_neg,power_agent
surrounds,agency_pos,power_agent
surveys,agency_pos,power_equal
survives,agency_neg,power_equal
survives on,agency_pos,power_theme
suspects,agency_pos,power_equal
suspends,agency_pos,power_agent
sustains,agency_pos,power_agent
swallows,agency_pos,power_agent
swaps,agency_pos,power_agent
swarms,agency_pos,
swats,agency_pos,power_agent
sways,agency_pos,power_agent
swears,agency_pos,power_agent
sweats,agency_neg,
sweeps,agency_pos,power_agent
swells,agency_equal,
swerves,agency_pos,
swigs,agency_pos,power_equal
swims,agency_pos,
swings,agency_pos,power_agent
swipes,agency_pos,power_agent
swirls,agency_pos,power_agent
switches,agency_pos,power_agent
swivels,agency_pos,power_agent
swoops,agency_pos,
tackles,agency_pos,power_agent
tacks,agency_pos,power_agent
tags,agency_pos,power_agent
tailors,agency_pos,power_equal
tails,agency_pos,power_theme
takes,agency_pos,power_equal
talks,agency_pos,
talks to,agency_pos,power_equal
tangles,agency_pos,power_agent
taps,agency_equal,power_equal
targets,agency_pos,power_agent
tastes,agency_pos,power_agent
tattooes,,power_agent
tattoos,agency_pos,
taunts,agency_pos,power_agent
taxis,agency_pos,
teaches,agency_pos,power_agent
tears,agency_pos,power_agent
teases,agency_pos,power_agent
teeters,agency_neg,
telephones,agency_pos,power_equal
tells,agency_pos,power_equal
tempts,agency_pos,power_agent
tends,agency_pos,power_agent
tenses,agency_pos,power_equal
terminates,agency_pos,power_agent
terms,agency_pos,power_agent
terrifies,agency_pos,power_agent
testifies,agency_pos,power_equal
tests,agency_pos,power_agent
tethers,agency_pos,power_agent
thanks,agency_pos,power_theme
thaws,agency_pos,power_agent
thinks,agency_pos,power_equal
thins,agency_pos,power_agent
thrashes,agency_pos,power_agent
threads,agency_pos,
threatens,agency_pos,power_agent
thrills,agency_pos,power_agent
throbs,agency_neg,
throttles,agency_pos,power_agent
throws,agency_pos,power_agent
thrusts,agency_pos,power_agent
thumbs,agency_equal,
thumps,agency_pos,power_agent
thunders,agency_pos,
tickles,agency_pos,power_equal
ticks off,agency_equal,power_equal
tidies,agency_pos,power_agent
ties,agency_pos,power_equal
tightens,agency_pos,power_agent
tilts,agency_pos,power_agent
times,agency_pos,power_agent
tings,agency_pos,
tips,agency_pos,power_theme
tiptoes,agency_pos,
tires,agency_equal,power_agent
toasts,agency_pos,power_equal
tolerates,agency_equal,power_equal
topples,agency_pos,power_agent
tops,agency_pos,power_agent
torments,agency_pos,power_agent
tortures,agency_pos,power_agent
tosses,agency_pos,power_agent
totals,agency_pos,power_agent
touches,agency_pos,power_theme
towers,agency_neg,
tows,agency_pos,power_agent
toys with,agency_pos,power_agent
traces,agency_pos,power_theme
tracks,agency_pos,power_agent
trades,agency_pos,power_agent
trails,agency_pos,power_equal
trains,agency_pos,power_agent
tramples,agency_pos,power_agent
transfers,agency_pos,power_agent
transfixes,agency_pos,power_agent
transforms,agency_pos,power_agent
translates,agency_pos,power_agent
transmits,agency_pos,power_equal
transports,agency_pos,power_agent
traps,agency_pos,power_agent
trashes,agency_pos,power_agent
travels,agency_pos,power_agent
treads,agency_pos,
treats,agency_pos,power_agent
trembles,agency_neg,
trickles,agency_neg,
tricks,agency_pos,power_agent
tries,agency_pos,power_equal
triggers,agency_pos,power_agent
trims,agency_pos,power_agent
trips,agency_pos,power_agent
trips on,agency_neg,power_theme
trots,agency_pos,power_equal
troubles,agency_pos,power_agent
trudges,agency_pos,
trusts,agency_neg,power_theme
tucks,agency_pos,power_equal
tugs,agency_pos,power_agent
tumbles,agency_pos,
